epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2079,1.40266,8.21254,1.01245,0.58105,0.17182,0.10735,0.07191,1.28221,4.03545,0.9763,0.000326797,0.000326797,0.0676471
2,56.8929,1.20794,2.95378,0.93619,0.36139,0.29867,0.18786,0.12663,1.15414,2.53234,0.94426,0.000653595,0.000653595,0.0346405
3,79.4225,1.18078,2.4545,0.93327,0.35332,0.43971,0.24808,0.16539,1.11244,2.2569,0.93988,0.000973793,0.000973793,0.00162739
4,102.91,1.09976,2.18303,0.89176,0.49651,0.33582,0.30018,0.19125,1.18403,2.04135,0.94482,0.0009703,0.0009703,0.0009703
5,125.295,1.10113,2.01535,0.90318,0.36844,0.3616,0.29502,0.19827,1.12127,2.06791,0.94242,0.0009604,0.0009604,0.0009604
6,148.089,1.04666,1.81376,0.91326,0.38196,0.38061,0.33147,0.24082,0.94319,1.6923,0.89411,0.0009505,0.0009505,0.0009505
7,171.204,1.06369,1.77478,0.90323,0.50713,0.40693,0.33413,0.24184,0.92532,1.67163,0.89679,0.0009406,0.0009406,0.0009406
8,193.148,1.02896,1.72854,0.90131,0.65341,0.40731,0.35503,0.26094,0.95577,1.6366,0.90742,0.0009307,0.0009307,0.0009307
9,217.385,0.98801,1.62818,0.88631,0.45792,0.47897,0.37969,0.26632,1.05377,1.57154,0.93503,0.0009208,0.0009208,0.0009208
10,241.238,0.98442,1.42576,0.89461,0.60378,0.39981,0.43106,0.29701,1.0701,1.46126,0.93322,0.0009109,0.0009109,0.0009109
11,265.115,0.97761,1.44096,0.90155,0.55553,0.42704,0.42778,0.28693,1.13637,1.47291,0.97973,0.000901,0.000901,0.000901
12,286.191,0.95681,1.42348,0.88324,0.54833,0.43408,0.45131,0.32356,1.07576,1.51854,0.9311,0.0008911,0.0008911,0.0008911
13,310.176,0.95621,1.35488,0.87541,0.55651,0.45898,0.46933,0.34103,0.98298,1.37329,0.90216,0.0008812,0.0008812,0.0008812
14,333.323,0.94869,1.3676,0.89171,0.59026,0.48486,0.51654,0.37934,0.93074,1.38712,0.89467,0.0008713,0.0008713,0.0008713
15,356.486,0.94229,1.3152,0.87947,0.52725,0.47683,0.44934,0.32184,1.01791,1.36898,0.92594,0.0008614,0.0008614,0.0008614
16,376.165,0.93171,1.19166,0.89083,0.52043,0.47339,0.47764,0.31981,1.1946,1.32359,0.94969,0.0008515,0.0008515,0.0008515
17,398.198,0.96065,1.24743,0.87583,0.59576,0.50407,0.5228,0.36535,1.07032,1.27186,0.92815,0.0008416,0.0008416,0.0008416
18,417.423,0.91284,1.16719,0.87672,0.4899,0.54288,0.49842,0.346,1.07507,1.24768,0.9282,0.0008317,0.0008317,0.0008317
19,437.146,0.92523,1.13198,0.87516,0.54108,0.51396,0.49779,0.37317,0.91372,1.26728,0.88024,0.0008218,0.0008218,0.0008218
20,458.342,0.9226,1.12981,0.87026,0.53521,0.48155,0.5167,0.37566,1.073,1.31142,0.93944,0.0008119,0.0008119,0.0008119
21,478.159,0.90388,1.1182,0.87685,0.66953,0.45567,0.5025,0.3656,1.04824,1.3118,0.92328,0.000802,0.000802,0.000802
22,498.711,0.88199,1.0642,0.87129,0.53668,0.53638,0.54564,0.40735,1.02784,1.26695,0.91691,0.0007921,0.0007921,0.0007921
23,523.657,0.906,1.06427,0.87445,0.5678,0.56001,0.58402,0.42631,1.01103,1.24033,0.91853,0.0007822,0.0007822,0.0007822
24,546.911,0.87766,1.05777,0.86668,0.69217,0.47363,0.55213,0.39786,1.06985,1.2725,0.93204,0.0007723,0.0007723,0.0007723
25,567.079,0.8667,1.00053,0.87389,0.61294,0.4922,0.54702,0.37929,1.15918,1.22911,0.95141,0.0007624,0.0007624,0.0007624
26,587.847,0.8845,0.93006,0.87421,0.52668,0.53465,0.5476,0.41669,0.93114,1.22319,0.88504,0.0007525,0.0007525,0.0007525
27,610.401,0.8678,0.97856,0.86739,0.60389,0.4657,0.5018,0.3833,0.87997,1.22558,0.87807,0.0007426,0.0007426,0.0007426
28,629.714,0.90867,0.96407,0.85973,0.47729,0.53579,0.53208,0.38209,1.03157,1.35637,0.92002,0.0007327,0.0007327,0.0007327
29,649.911,0.84848,0.98485,0.85901,0.73654,0.3905,0.56268,0.40096,1.04561,1.30185,0.91022,0.0007228,0.0007228,0.0007228
30,670.751,0.81308,0.87562,0.85019,0.73098,0.468,0.55415,0.40721,0.99574,1.25359,0.89197,0.0007129,0.0007129,0.0007129
31,690.61,0.82762,0.87506,0.86785,0.50562,0.56726,0.55973,0.42882,0.90018,1.26755,0.88582,0.000703,0.000703,0.000703
32,712.015,0.83297,0.87978,0.84832,0.44799,0.58026,0.5478,0.40766,0.95258,1.19956,0.89001,0.0006931,0.0006931,0.0006931
33,732.884,0.80194,0.8488,0.85445,0.73643,0.44686,0.57369,0.41411,0.99089,1.20542,0.89333,0.0006832,0.0006832,0.0006832
34,752.277,0.83196,0.85803,0.86231,0.57049,0.55893,0.54542,0.40681,0.91084,1.26608,0.8784,0.0006733,0.0006733,0.0006733
35,772.053,0.83368,0.87719,0.84787,0.65411,0.53264,0.58638,0.46053,0.87349,1.13375,0.8885,0.0006634,0.0006634,0.0006634
36,796.105,0.80969,0.84557,0.84493,0.53067,0.56661,0.57272,0.42575,0.89442,1.12002,0.88905,0.0006535,0.0006535,0.0006535
37,816.243,0.75658,0.77471,0.84381,0.62937,0.53906,0.56511,0.45572,0.83437,1.17507,0.88194,0.0006436,0.0006436,0.0006436
38,836.409,0.77109,0.76747,0.85705,0.62378,0.60695,0.60499,0.4606,0.93228,1.1557,0.90242,0.0006337,0.0006337,0.0006337
