epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.014,1.51322,6.60612,0.99271,0,0,0,0,1.07752,6.0955,0.85446,6.96078e-05,6.96078e-05,6.96078e-05
2,355.487,1.44537,6.09185,0.87906,0.01396,0.17355,0.0187,0.01382,1.17659,5.61968,0.85211,0.000133648,0.000133648,0.000133648
3,499.137,1.42736,5.4661,0.87172,0.63762,0.08528,0.03839,0.02766,1.21473,4.90421,0.86821,0.000190659,0.000190659,0.000190659
4,653.967,1.34395,4.97198,0.84845,0.50191,0.13445,0.06077,0.04908,1.06612,4.63683,0.84221,0.000181369,0.000181369,0.000181369
5,844.154,1.27609,4.6953,0.84033,0.5114,0.08986,0.07073,0.05475,1.01879,4.39949,0.82845,0.000170826,0.000170826,0.000170826
6,993.203,1.27826,4.76358,0.8466,0.52957,0.10623,0.10592,0.08007,1.02096,4.25585,0.82827,0.000160282,0.000160282,0.000160282
7,1131.48,1.26459,4.39788,0.83671,0.45873,0.11638,0.11372,0.08859,0.99852,4.07568,0.82475,0.000149739,0.000149739,0.000149739
8,1287.53,1.21753,4.17426,0.83267,0.3874,0.14171,0.11353,0.09025,0.91492,3.92411,0.82104,0.000139196,0.000139196,0.000139196
9,1518.09,1.18506,4.05612,0.8464,0.4206,0.12243,0.12579,0.10186,0.95353,3.78157,0.82658,0.000128652,0.000128652,0.000128652
10,1680.48,1.14013,3.9356,0.83134,0.55927,0.09881,0.13572,0.10979,0.89176,3.67205,0.82118,0.000118108,0.000118108,0.000118108
11,1804.42,1.12577,4.67237,0.8368,0.4424,0.1449,0.13834,0.10986,0.92231,3.64509,0.82797,0.000107565,0.000107565,0.000107565
12,1923.35,1.07747,4.45237,0.83388,0.37656,0.16731,0.15562,0.12381,0.91815,3.52554,0.82857,9.70215e-05,9.70215e-05,9.70215e-05
13,2036.83,1.08151,4.44336,0.82835,0.48958,0.1946,0.16077,0.1271,0.88468,3.47008,0.82181,8.6478e-05,8.6478e-05,8.6478e-05
14,2146.48,1.01706,4.15653,0.83687,0.57271,0.13423,0.17615,0.14184,0.8906,3.316,0.82081,7.59345e-05,7.59345e-05,7.59345e-05
15,2259.88,0.98369,4.10375,0.8318,0.65895,0.13018,0.17665,0.1408,0.86709,3.30792,0.81721,6.5391e-05,6.5391e-05,6.5391e-05
16,2379.22,1.00938,4.17567,0.822,0.64901,0.14062,0.17869,0.14208,0.8813,3.27273,0.81638,5.48475e-05,5.48475e-05,5.48475e-05
17,2529.11,1.00644,4.12846,0.81781,0.39477,0.24206,0.18286,0.14629,0.87092,3.21939,0.81637,4.4304e-05,4.4304e-05,4.4304e-05
18,2671.21,0.97822,3.96903,0.82497,0.61691,0.14563,0.19018,0.1532,0.86281,3.18383,0.81671,3.37605e-05,3.37605e-05,3.37605e-05
19,2784.82,1.00366,3.92853,0.83883,0.65347,0.14352,0.19009,0.15481,0.86288,3.16968,0.81636,2.3217e-05,2.3217e-05,2.3217e-05
20,2891.6,0.99157,3.9333,0.81667,0.65895,0.14489,0.19386,0.15812,0.85208,3.13164,0.81533,1.26735e-05,1.26735e-05,1.26735e-05
